,name,salary,addr,time,limit,company,type,vip,page
154,iOS,8k-16k,南山区,2018-07-12 11:02:19,本科、应届毕业生,深圳市乐易网络股份有限公司,"A轮、移动互联网,游戏","精品手游,腾讯大神,高配团队,免费旅游",12
155,IOS系统工程师,9k-15k,福田区,2018-07-12 10:56:02,本科、1-3年,深圳途顺高新科技有限公司,"未融资、移动互联网,电子商务","绩效奖励,五险一金,年终奖金",12
156,iOS工程师 (深圳）,10k-20k,南山区,2018-07-12 10:51:38,本科、1-3年,广州奇志信息科技有限公司,A轮、移动互联网,"新技术,有挑战,无人机,飞行代码",12
157,Android/iOS开发,10k-15k,福田区,2018-07-12 10:50:55,本科、1-3年,深圳市致趣科技有限公司,天使轮、硬件,"五险一金,带薪年假,周末双休,节日福利",12
158,ios开发工程师,10k-20k,南山区,2018-07-12 10:39:09,本科、1-3年,广东合一新材料研究院有限公司,不需要融资、硬件,五险一金,12
159,iOS开发工程师,10k-20k,南山区,2018-07-12 10:30:02,本科、1-3年,深圳碳原子科技有限公司,C轮、移动互联网,IOS,12
160,高级 iOS 工程师,30k-40k,南山区,2018-07-12 10:28:33,本科、5-10年,北京嘀嘀无限科技发展有限公司,不需要融资、移动互联网,"弹性工作,产品有前景,技术氛围好",12
161,音视频直播iOS开发工程师-商业化-深圳,20k-40k,南山区,2018-07-12 10:27:01,本科、不限,厦门美图之家科技有限公司,"上市公司、移动互联网,硬件","上市公司,核心部门,扁平化管理",12
162,iOS高级开发工程师,10k-18k,龙岗区,2018-07-12 10:23:31,大专、3-5年,深圳市博奥特科技有限公司,"未融资、移动互联网,金融","周未双休,五金一险",12
163,IOS开发工程师,20k-30k,南山区,2018-07-12 10:18:05,本科、3-5年,深圳呗佬智能有限公司,A轮、移动互联网,"AI领域,硅谷大牛",12
164,iOS开发,8k-16k,南山区,2018-07-12 10:17:22,大专、3-5年,北京通力互联技术服务有限公司,"不需要融资、电子商务,企业服务","周末双休,团建",12
165,iOS开发工程师（中级/高级/资深）-创新工具,25k-50k,南山区,2018-07-12 10:04:41,本科、3-5年,北京字节跳动科技有限公司,"C轮、移动互联网,数据服务",六险一金，高薪期权，弹性工作，免费三餐，租房补贴，扁平管理，团队氛围好,14
166,iOS高级开发工程师,15k-25k,南山区,2018-07-12 10:00:06,本科、3-5年,深圳左邻永佳科技有限公司,A轮、移动互联网,"风口行业,大牛团队,技术氛围,福利多多",14
167,IOS,8k-16k,南山区,2018-07-12 09:52:37,本科、1年以下,深圳市乐易网络股份有限公司,"A轮、移动互联网,游戏","海外手游,高配团队,两次调薪,大神指导",14
168,MIG08-IOS开发工程师（广州）,18k-36k,南山区,2018-07-12 09:42:13,本科、1-3年,腾讯科技(深圳)有限公司,"上市公司、移动互联网 ,游戏","大平台,新领域,大咖多",14
169,iOS开发工程师,10k-20k,南山区,2018-07-12 09:33:21,本科、1-3年,深圳市随手科技有限公司,"C轮、移动互联网,金融","3亿用户,大平台,互联网金融,发展好",14
170,ios开发工程师,10k-18k,南山区,2018-07-12 09:33:04,本科、3-5年,金蝶软件（中国）有限公司,"上市公司、移动互联网,电子商务",发展空间大,14
171,sz-IOS开发岗,10k-20k,福田区,2018-07-12 09:32:04,大专、1-3年,深圳市中手游网络科技有限公司,"上市公司、移动互联网,游戏","大平台,福利好,加班少,晋升空间大",14
172,APP推广经理（IOS方向）,10k-15k,南山区,2018-07-12 09:30:13,本科、3-5年,深圳市房多多网络科技有限公司,"C轮、移动互联网,O2O","发展空间大,福利好,平台大",14
173,iOS,8k-12k,宝安区,2018-07-12 09:24:36,本科、1-3年,深圳和众世纪营销策划有限公司,"不需要融资、电子商务,O2O","五险一金,户外活动,下午茶,股权激励",14
174,IOS开发工程师,7k-14k,宝安区,2018-07-12 09:23:39,大专、1-3年,深圳搜机网科技有限公司,"未融资、电子商务,移动互联网","扁平化组织,五险一金,前景好,福利好",14
175,IOS开发工程师,10k-14k,福田区,2018-07-12 09:22:49,大专、3-5年,深圳市点证科技有限公司,"未融资、移动互联网,金融","专业培训,五险一金,工作餐,绩效奖金",14
176,ios开发工程师,15k-25k,南山区,2018-07-12 09:21:35,本科、3-5年,爱享叁陆伍网络技术有限公司,"不需要融资、O2O,电子商务","互联网,大平台,领导好,美女多",14
177,IOS架构师（提审包过）,15k-30k,南山区,2018-07-12 09:19:22,不限、3-5年,深圳市点加互动网络科技有限公司,"不需要融资、移动互联网,游戏","项目奖金,年终奖,弹性工作",14
178,IOS开发工程师,20k-40k,南山区,2018-07-12 09:18:35,大专、5-10年,深圳市迷你玩科技有限公司,B轮、游戏,"领导好,氛围好,平台好,下午茶",14
179,ios开发工程师,10k-15k,福田区,2018-07-12 09:11:16,本科、1-3年,深圳市精一产业链服务有限公司,"未融资、移动互联网,电子商务","福利好,平台大,氛围好,挑战大",14
180,IOS架构师,25k-50k,南山区,2018-07-11 15:50:06,本科、5-10年,深圳市恒波商业连锁有限公司,上市公司、其他,"平台空间大,国际化团队,薪资福利佳,团队氛围佳",18
